credit_score,annual_income,debt_to_income,employment_length,loan_amount,interest_rate,home_ownership,loan_purpose,loan_status
719.737132,32692.240496,0.145306,11.184295,42507.762962,13.216183,RENT,debt_consolidation,1
668.938856,44949.224964,0.06927,5.060492,13768.687171,8.675062,RENT,home_improvement,1
731.815083,30471.528883,0.152696,5.845283,19674.923723,12.764541,MORTGAGE,debt_consolidation,1
801.842389,40750.487517,0.11914,5.50719,57560.695238,12.668147,MORTGAGE,credit_card,1
661.26773,15737.964601,0.307747,2.984271,31177.973676,6.157864,RENT,debt_consolidation,1
661.269043,55713.414092,0.194815,5.845262,10346.134558,10.57354,MORTGAGE,other,1
806.337025,49056.269983,0.034786,0.361282,10824.402991,11.9284,MORTGAGE,credit_card,1
741.394778,30023.834284,0.170418,9.825263,14479.484261,9.472984,OWN,debt_consolidation,1
642.442049,72805.54516,0.415058,7.52116,29034.813612,12.101485,RENT,major_purchase,0
723.404803,86037.805939,0.411299,1.406711,28305.456393,13.820642,MORTGAGE,credit_card,1
642.926585,18684.770913,0.365999,7.305789,12207.77578,10.892924,RENT,medical,0
642.74162,31019.308142,0.229672,0.063616,9729.84612,11.786098,MORTGAGE,medical,1
699.356982,30900.096632,0.454159,1.224688,26825.504746,15.841984,MORTGAGE,medical,1
526.93758,27890.966648,0.21614,0.336778,19393.591471,12.656188,RENT,debt_consolidation,0
542.006573,80634.744206,0.313975,7.575799,99712.978321,11.702885,OWN,debt_consolidation,0
635.016998,43638.903637,0.433022,7.050357,22598.132737,7.646722,RENT,vacation,1
598.97351,41826.738675,0.348598,8.400268,78431.19161,13.348591,MORTGAGE,credit_card,1
705.139787,15000.0,0.166768,0.022459,9708.251581,12.155525,RENT,debt_consolidation,0
607.358074,71772.07976,0.070299,3.478078,7322.821198,15.493088,MORTGAGE,other,1
567.015704,23305.506989,0.077322,6.101124,10056.157448,11.164075,RENT,debt_consolidation,1
797.251902,50815.645994,0.242398,0.844467,50634.621821,5.0,OWN,other,1
661.937896,57897.307667,0.122687,5.246122,75302.688182,5.049577,OWN,major_purchase,1
685.402256,110901.218151,0.025994,0.439296,12739.649057,13.574883,OWN,other,1
566.020145,22352.819865,0.170476,1.000346,15956.216463,9.004322,RENT,debt_consolidation,1
636.449382,15000.0,0.39863,3.22938,9717.788615,12.528687,MORTGAGE,credit_card,1
688.873807,54737.796445,0.350817,5.300303,6197.195358,11.399814,RENT,credit_card,1
587.920514,144394.831073,0.097711,0.788354,36420.540301,10.416061,OWN,credit_card,0
710.055841,103091.045304,0.324002,1.024206,25748.050953,10.662736,MORTGAGE,debt_consolidation,1
631.948905,55592.059159,0.093533,1.143585,22188.770086,7.971137,MORTGAGE,credit_card,1
656.6645,36498.202385,0.432398,1.363644,8266.449922,10.944778,MORTGAGE,credit_card,1
631.863471,79560.543,0.350419,1.284496,69422.734359,8.954273,RENT,credit_card,1
828.182255,27333.607832,0.085125,2.513867,15485.359116,9.697102,MORTGAGE,other,1
678.920222,65239.126108,0.228176,5.303544,32001.514135,9.867228,RENT,credit_card,1
595.383126,66388.697028,0.060509,2.88155,7956.997557,10.206574,OTHER,debt_consolidation,1
745.803593,92607.549418,0.218051,7.479964,19276.313999,14.227607,OWN,home_improvement,1
582.332508,256734.055179,0.158979,6.351783,27009.991156,10.545732,MORTGAGE,other,1
696.709088,62034.72453,0.396481,0.67639,27693.49017,14.582958,OWN,debt_consolidation,1
523.22639,36120.715799,0.462149,0.250373,24544.767653,16.382492,RENT,home_improvement,1
573.745116,48274.338897,0.258792,10.516277,31137.424799,13.992306,OWN,debt_consolidation,1
695.748899,16959.008678,0.696336,0.41599,9982.96761,12.87064,RENT,debt_consolidation,0
739.077326,32311.294446,0.172481,0.802835,25289.911084,12.143913,MORTGAGE,medical,1
693.709462,38346.960129,0.355193,0.111909,23852.167637,14.028755,MORTGAGE,medical,0
670.748137,35794.408078,0.39708,4.94883,25904.471535,11.312763,RENT,credit_card,1
655.911704,53713.138921,0.225486,4.365804,23170.649573,14.445994,RENT,home_improvement,0
561.718241,29927.948061,0.150365,21.677115,9034.004897,13.14937,RENT,major_purchase,0
622.412463,96049.446004,0.500039,10.898847,8756.400289,9.740558,OTHER,car,0
643.148898,49026.891808,0.279711,2.645314,4675.130098,14.135478,RENT,credit_card,1
764.569778,48748.017421,0.235833,2.322779,39037.349913,11.32018,MORTGAGE,credit_card,1
707.489463,40266.018148,0.192496,1.76094,39314.954882,10.628538,MORTGAGE,credit_card,0
538.956788,53804.60893,0.227537,0.826773,39754.773617,9.333303,RENT,debt_consolidation,1
705.926718,80423.279462,0.362621,0.742985,27303.030265,11.581066,MORTGAGE,credit_card,1
649.193418,29135.768912,0.221532,0.709452,4948.385039,14.487619,MORTGAGE,other,0
625.84624,33028.632196,0.633197,0.605839,10735.407352,14.11129,RENT,other,0
728.934103,40854.178452,0.128992,1.375554,24817.164069,12.236878,MORTGAGE,major_purchase,1
762.479962,21861.392181,0.325712,1.831236,24218.270387,13.098753,RENT,debt_consolidation,0
754.50241,29984.782566,0.11184,16.295752,18846.382239,15.450939,RENT,credit_card,1
612.862598,36837.347081,0.1444,4.31936,28516.611099,10.475118,MORTGAGE,debt_consolidation,1
